Temperature,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,ZT
350,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,0.2762527050536484
400,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,0.4200501873374674
450,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,0.5638969698034
500,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,0.6899887287202079
550,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,0.7997021900608572
600,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,0.8972872686373159
650,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,0.9871012020335967
700,11.0,82.0,71.0,57.51960784313726,16.800269127258748,52.0,2.0,90.0,88.0,79.59803921568628,11.160130718954242,90.0,22.98976928,207.2,184.21023072,142.1769628780392,44.623652926835824,127.6,370.87,1519.0,1148.13,790.9910784313724,214.12027104959625,722.66,1.0,16.0,15.0,13.696078431372548,2.4673202614379086,16.0,3.0,6.0,3.0,5.156862745098038,0.5786236063052668,5.0,138.0,166.0,28.0,141.4411764705882,4.091695501730095,138.0,0.93,2.33,1.4,2.0750980392156864,0.19934640522875816,2.1,1.0,2.0,1.0,1.9803921568627452,0.038446751249519344,2.0,0.0,4.0,4.0,2.6470588235294117,1.3264129181084197,4.0,0.0,10.0,10.0,9.068627450980392,1.5522875816993464,10.0,0.0,14.0,14.0,4.803921568627451,6.311034217608611,0.0,1.0,28.0,27.0,18.5,6.519607843137254,16.0,0.0,1.0,1.0,0.0196078431372549,0.03844675124951941,0.0,0.0,4.0,4.0,2.3529411764705883,1.130334486735871,2.0,0.0,5.0,5.0,0.7352941176470588,1.2543252595155707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.107843137254902,1.1687812379853901,2.0,10.4875862069,34.7633333333,24.2757471264,28.802128690540194,5.861620420068819,34.7633333333,0.0,0.464,0.464,0.22745098039215686,0.2319108035371011,0.464,0.0,0.000310120689655,0.000310120689655,4.560598377279411e-05,7.779844290653113e-05,0.0,152.0,229.0,77.0,188.11764705882354,35.40945790080738,152.0,1.1173125045814305
350,11.0,82.0,71.0,55.116,18.092128,16.0,2.0,96.0,94.0,80.884,12.584672000000001,51.0,22.98976928,207.2,184.21023072,134.78505307712,48.008637962920965,32.065,370.87,3695.0,3324.13,1157.7770400000002,1014.889184,386.85,1.0,17.0,16.0,13.748,3.2011840000000005,6.0,3.0,6.0,3.0,4.9879999999999995,0.8111040000000003,3.0,105.0,166.0,61.0,138.07999999999998,13.264000000000005,105.0,0.93,2.66,1.73,2.4004,0.17568,2.1,1.0,2.0,1.0,1.996,0.007968000000000003,2.0,0.0,5.0,5.0,2.992,1.6096,0.0,0.0,10.0,10.0,6.76,3.86208,0.0,0.0,14.0,14.0,5.544,6.697152,0.0,1.0,28.0,27.0,17.291999999999998,5.280735999999999,6.0,0.0,1.0,1.0,0.004,0.007968,0.0,0.0,4.0,4.0,1.784,1.0414720000000002,0.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.988,1.6015039999999998,1.0,16.05,43.015,26.965,29.5495749999932,7.471673333325439,16.05,0.0,2.202,2.202,0.7455999999999999,0.70912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,148.01600000000002,64.8128,64.0,0.1785939521677423
400,11.0,82.0,71.0,55.116,18.092128,16.0,2.0,96.0,94.0,80.884,12.584672000000001,51.0,22.98976928,207.2,184.21023072,134.78505307712,48.008637962920965,32.065,370.87,3695.0,3324.13,1157.7770400000002,1014.889184,386.85,1.0,17.0,16.0,13.748,3.2011840000000005,6.0,3.0,6.0,3.0,4.9879999999999995,0.8111040000000003,3.0,105.0,166.0,61.0,138.07999999999998,13.264000000000005,105.0,0.93,2.66,1.73,2.4004,0.17568,2.1,1.0,2.0,1.0,1.996,0.007968000000000003,2.0,0.0,5.0,5.0,2.992,1.6096,0.0,0.0,10.0,10.0,6.76,3.86208,0.0,0.0,14.0,14.0,5.544,6.697152,0.0,1.0,28.0,27.0,17.291999999999998,5.280735999999999,6.0,0.0,1.0,1.0,0.004,0.007968,0.0,0.0,4.0,4.0,1.784,1.0414720000000002,0.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.988,1.6015039999999998,1.0,16.05,43.015,26.965,29.5495749999932,7.471673333325439,16.05,0.0,2.202,2.202,0.7455999999999999,0.70912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,148.01600000000002,64.8128,64.0,0.3225912456638284
